t_	V_m_	I_Stim_	d_dVdt_	I_Na_	I_CaL_	I_Ca_junc_	I_Ca_sl_	I_Kur_	I_to_	I_Kr_	I_Kss_	I_K1_	I_NCX_	I_Cap_	I_Nak_	I_Nab_	I_Cab_	I_Cl_	J_SERCA_	J_SRCarel_	J_SRleak_	RyR_O_	RyR_R_	RyR_I_	RyR_RI_	Ca_junc_	Ca_sl_	Ca_i_	Ca_sr_	Na_junc_	Na_sl_	Na_myo_	K_i_	CaMKII_junc_	Phos_LCC_CK_	Phos_RyR_CK_	Phos_PLB_CK_
54.000000	-77.797349	0.000000	-0.057701	-0.000059	-0.000723	-0.000672	-0.000051	0.029524	0.000920	0.017205	0.151855	0.464502	-0.379807	0.044290	0.212012	-0.171455	-0.123449	-0.187113	0.141385	5.192770	3.471667	0.000724	0.072535	0.009155	0.917586	7.854185	1.138229	0.144995	301.071828	11.621120	11.620917	11.620904	135.000000	115.148884	79.400928	24.218634	1.586155
55.000000	-77.856205	0.000000	-0.051924	-0.000059	-0.000710	-0.000660	-0.000050	0.029181	0.000905	0.016405	0.148605	0.456681	-0.372880	0.043984	0.211819	-0.171534	-0.123769	-0.186704	0.140011	5.007300	3.480471	0.000701	0.074036	0.008677	0.916586	7.629712	1.114782	0.144251	301.403838	11.621153	11.620953	11.620940	135.000000	114.901511	79.432857	24.225489	1.586872
56.000000	-77.910030	0.000000	-0.047137	-0.000059	-0.000700	-0.000650	-0.000050	0.028873	0.000892	0.015653	0.145574	0.449548	-0.366025	0.043674	0.211644	-0.171604	-0.124082	-0.186250	0.138640	4.828248	3.489751	0.000679	0.075560	0.008224	0.915537	7.411946	1.091960	0.143511	301.771321	11.621185	11.620988	11.620976	135.000000	114.645622	79.464577	24.232308	1.587585
57.000000	-77.959540	0.000000	-0.047137	-0.000059	-0.000700	-0.000650	-0.000050	0.028873	0.000892	0.015653	0.145574	0.449548	-0.366025	0.043674	0.211644	-0.171604	-0.124082	-0.186250	0.138640	4.828248	3.489751	0.000657	0.077107	0.007793	0.914442	7.200657	1.069746	0.142775	302.172834	11.621216	11.621023	11.621011	135.000000	114.645622	79.464577	24.232308	1.587585
58.000000	-78.005362	0.000000	-0.043160	-0.000059	-0.000691	-0.000642	-0.000050	0.028594	0.000881	0.014945	0.142731	0.442988	-0.359249	0.043359	0.211485	-0.171668	-0.124390	-0.185764	0.137274	4.655343	3.499481	0.000636	0.078677	0.007385	0.913302	6.995620	1.048125	0.142044	302.606994	11.621246	11.621056	11.621044	135.000000	114.381128	79.496081	24.239091	1.588295
59.000000	-78.048022	0.000000	-0.039852	-0.000058	-0.000684	-0.000635	-0.000049	0.028340	0.000870	0.014276	0.140053	0.436907	-0.352553	0.043040	0.211338	-0.171728	-0.124693	-0.185256	0.135913	4.488342	3.509640	0.000616	0.080269	0.006998	0.912118	6.796623	1.027079	0.141318	303.072479	11.621276	11.621089	11.621077	135.000000	114.107976	79.527367	24.245838	1.589001
60.000000	-78.087967	0.000000	-0.037094	-0.000058	-0.000678	-0.000629	-0.000049	0.028106	0.000861	0.013642	0.137523	0.431229	-0.345940	0.042716	0.211203	-0.171783	-0.124991	-0.184735	0.134559	4.327013	3.520205	0.000596	0.081884	0.006630	0.910890	6.603469	1.006592	0.140597	303.568027	11.621304	11.621120	11.621109	135.000000	113.826120	79.558431	24.252546	1.589703
61.000000	-78.125577	0.000000	-0.034789	-0.000057	-0.000672	-0.000624	-0.000048	0.027888	0.000853	0.013042	0.135123	0.425888	-0.339412	0.042389	0.211076	-0.171834	-0.125285	-0.184208	0.133211	4.171141	3.531157	0.000577	0.083521	0.006282	0.909620	6.415965	0.986650	0.139881	304.092429	11.621332	11.621151	11.621140	135.000000	113.535536	79.589267	24.259215	1.590401
62.000000	-78.161174	0.000000	-0.032852	-0.000058	-0.000668	-0.000619	-0.000048	0.027685	0.000845	0.012472	0.132841	0.420830	-0.332972	0.042058	0.210957	-0.171882	-0.125576	-0.183678	0.131872	4.020522	3.542475	0.000558	0.085181	0.005952	0.908309	6.233931	0.967236	0.139172	304.644525	11.621359	11.621181	11.621171	135.000000	113.236212	79.619873	24.265844	1.591095
63.000000	-78.195029	0.000000	-0.032852	-0.000058	-0.000668	-0.000619	-0.000048	0.027685	0.000845	0.012472	0.132841	0.420830	-0.332972	0.042058	0.210957	-0.171882	-0.125576	-0.183678	0.131872	4.020522	3.542475	0.000540	0.086864	0.005638	0.906958	6.057195	0.948337	0.138468	305.223204	11.621385	11.621210	11.621200	135.000000	113.236212	79.619873	24.265844	1.591095
